m_max,mean_bh_mass,reading,seed,elapsed_s,n_steps,n_mergers,max_mass,max_spin,p99_mass,n_gt_100,pct_gt_100,any_gt_100,n_emri,pct_emri,n_ejected,max_generation
16.0,10.195454478232662,bh_inclusive,1,29.571730136871338,10040,1,16.218848997370188,0.046636139956302995,15.865492181944237,0,0.0,False,615,61.5,0,2
16.0,10.195454478232662,bh_inclusive,2,30.838703155517578,10212,0,16.19233039828477,-0.017998682198668705,15.810610884314508,0,0.0,False,617,61.7,0,1
16.0,10.195454478232662,bh_inclusive,0,33.94456672668457,10536,0,16.150691102728636,0.03745410759060438,15.878230592045997,0,0.0,False,631,63.1,0,1
20.118934874926964,11.669486968369693,bh_inclusive,0,31.436521291732788,10109,1,25.051799626358335,0.6859787984239434,19.925733646445007,0,0.0,False,648,64.8,0,2
20.118934874926964,11.669486968369693,bh_inclusive,1,29.997785329818726,9990,3,39.29118722047096,0.5795031144123545,19.907314499887683,0,0.0,False,630,63.0,0,3
20.118934874926964,11.669486968369693,bh_inclusive,2,33.383214712142944,10273,2,23.251308319550926,0.6720123903642057,19.825579387601238,0,0.0,False,623,62.3,0,2
16.0,10.195454478232662,star_only,1,441.46144247055054,45752,22,48.85889594144368,-0.6969046707503953,23.444918900950142,0,0.0,False,321,32.1,0,4
20.118934874926964,11.669486968369693,star_only,1,479.30682277679443,50440,33,71.44081758173488,-0.3944599624023377,35.030718294743686,0,0.0,False,310,31.0,0,3
16.0,10.195454478232662,star_only,2,499.18263125419617,53249,36,55.514676208732304,0.1662969125493601,28.665459041290994,0,0.0,False,301,30.1,0,3
25.298221281347033,13.411092195249925,bh_inclusive,0,29.195961952209473,10016,4,41.17325310378177,-0.6660601638590284,25.08202832918205,0,0.0,False,614,61.4,0,2
16.0,10.195454478232662,star_only,0,520.1941676139832,54603,32,42.917199873441405,-0.12091826391603798,25.11480107939318,0,0.0,False,315,31.5,0,3
25.298221281347033,13.411092195249925,star_only,0,457.4079303741455,47707,79,229.13004987904907,-0.08005885460629059,49.492400563358665,2,0.2,True,310,31.0,0,9
20.118934874926964,11.669486968369693,star_only,2,495.4026470184326,51950,39,72.06618214951352,0.27285625138342523,35.00535652173565,0,0.0,False,316,31.6,0,3
25.298221281347033,13.411092195249925,bh_inclusive,1,30.688390493392944,10219,1,27.606661771854473,-0.6056980944382131,24.873643752318667,0,0.0,False,601,60.1,0,2
25.298221281347033,13.411092195249925,star_only,1,436.0809762477875,44972,41,69.79526025446485,-0.37779166009079024,43.65328384292565,0,0.0,False,321,32.1,0,3
25.298221281347033,13.411092195249925,bh_inclusive,2,30.589346647262573,10095,0,25.833446735273128,0.08672285592922026,24.84129958311545,0,0.0,False,639,63.9,0,1
20.118934874926964,11.669486968369693,star_only,0,554.7538332939148,58751,47,81.45938614171585,-0.17198290270878272,36.55991195340768,0,0.0,False,332,33.2,0,3
31.810829150682036,15.473679386078373,bh_inclusive,0,27.936577081680298,10007,1,51.71725261722587,-0.6696502017703555,31.390401190087704,0,0.0,False,635,63.5,0,2
31.810829150682036,15.473679386078373,bh_inclusive,1,28.421470403671265,10007,1,55.42857577516899,0.6852066050192325,31.192793123136717,0,0.0,False,634,63.4,1,2
31.810829150682036,15.473679386078373,bh_inclusive,2,29.08992648124695,10092,2,32.041219908042,0.026492881940536964,31.173126644808498,0,0.0,False,625,62.5,0,2
40.000000000000014,17.92190281630776,bh_inclusive,0,28.15004563331604,10008,1,40.35355137263289,-0.011588736542606063,39.30449633159773,0,0.0,False,648,64.8,0,2
40.000000000000014,17.92190281630776,bh_inclusive,1,28.30484390258789,10045,0,40.06949491906891,0.011903285876974774,39.13091612459262,0,0.0,False,623,62.3,0,1
40.000000000000014,17.92190281630776,bh_inclusive,2,26.701329469680786,10050,2,44.71868142188292,0.4926595303922399,39.17359450820803,0,0.0,False,634,63.4,0,2
25.298221281347033,13.411092195249925,star_only,2,437.23483991622925,45495,50,65.36306817831753,-0.5150945255691375,47.69706267746665,0,0.0,False,295,29.5,0,4
31.810829150682036,15.473679386078373,star_only,1,393.94053626060486,41894,73,216.3127798817728,0.3048257707744698,58.31880828292991,1,0.1,True,321,32.1,0,7
31.810829150682036,15.473679386078373,star_only,0,432.7855546474457,45174,99,131.06505384446248,0.39490242153363386,67.81095885834782,4,0.4,True,313,31.3,0,5
50.297337187317424,20.83411247580807,bh_inclusive,0,26.94451642036438,10059,2,66.54103121057412,0.6565519878563154,49.451631989952894,0,0.0,False,659,65.9,0,2
40.000000000000014,17.92190281630776,star_only,1,423.66310262680054,43880,120,247.68068027698934,-0.31436928049408625,102.43820551501773,11,1.1,True,330,33.0,2,8
40.000000000000014,17.92190281630776,star_only,0,442.1788034439087,46584,151,645.7707925740667,0.2723606565136832,96.73779478506295,10,1.0,True,310,31.0,1,16
40.000000000000014,17.92190281630776,star_only,2,437.3873209953308,45653,84,213.72121621376107,-0.27433892142692123,74.69457660021308,5,0.5,True,335,33.5,0,5
50.297337187317424,20.83411247580807,bh_inclusive,1,26.93223476409912,10052,2,50.50398816943846,7.285521127035637e-05,49.03686839344502,0,0.0,False,637,63.7,0,2
50.297337187317424,20.83411247580807,bh_inclusive,2,27.36964178085327,10096,1,72.04067027630141,0.6739141502230293,49.016108279381285,0,0.0,False,656,65.6,0,2
31.810829150682036,15.473679386078373,star_only,2,505.6149363517761,53166,76,210.18836622579377,0.05454676905690736,67.07098308224163,4,0.4,True,330,33.0,1,4
63.24555320336759,24.305351914324763,bh_inclusive,0,26.488781452178955,10064,1,68.12966777547405,0.5956993025661173,62.019453454264124,0,0.0,False,645,64.5,0,2
63.24555320336759,24.305351914324763,bh_inclusive,1,26.337890625,10021,1,64.2520355863906,0.3964545140539635,61.519807817610875,0,0.0,False,643,64.3,1,2
63.24555320336759,24.305351914324763,bh_inclusive,2,26.327571630477905,10040,1,63.56721151340942,0.0188613086877444,61.38615090518283,0,0.0,False,675,67.5,0,2
50.297337187317424,20.83411247580807,star_only,0,506.0344784259796,52524,149,335.71803403448706,0.2426292880822171,118.73432473630274,15,1.5,True,330,33.0,0,7
50.297337187317424,20.83411247580807,star_only,1,476.7017011642456,52353,217,2533.598263068645,0.03192580980204695,121.91237594566344,15,1.5,True,325,32.5,1,47
79.52707287670508,28.451027657876885,bh_inclusive,0,25.992507696151733,10140,2,97.5693666753704,0.5402595998236064,77.83698909096377,0,0.0,False,646,64.6,2,2
50.297337187317424,20.83411247580807,star_only,2,482.6647357940674,52688,160,933.7463401041344,-0.07644565710097623,125.00251122821786,20,2.0,True,340,34.0,1,21
79.52707287670508,28.451027657876885,bh_inclusive,1,25.059406757354736,10042,1,79.48062270053012,0.00846315515545903,77.14280132803954,0,0.0,False,657,65.7,1,2
79.52707287670508,28.451027657876885,bh_inclusive,2,25.51831603050232,10040,1,79.51845907337336,0.0,76.88930890801333,0,0.0,False,658,65.8,1,2
63.24555320336759,24.305351914324763,star_only,1,443.37138628959656,48646,304,895.6009240729395,0.07660247858257861,220.5983371605971,50,5.0,True,325,32.5,2,26
63.24555320336759,24.305351914324763,star_only,2,437.22053241729736,46543,249,711.9488439015562,0.05092679783009401,171.34402261197437,38,3.8,True,314,31.4,0,17
100.0,33.411403262248086,bh_inclusive,0,25.200405836105347,10071,2,108.60961582589441,0.3055097803864571,97.781906864996,3,0.3,True,675,67.5,3,2
100.0,33.411403262248086,bh_inclusive,1,25.815752506256104,10057,2,126.32592403662662,0.664556940654012,96.74500512612502,1,0.1,True,658,65.8,0,2
100.0,33.411403262248086,bh_inclusive,2,25.49823832511902,10044,1,99.98820870004378,0.0,96.49874683785697,0,0.0,False,648,64.8,0,2
79.52707287670508,28.451027657876885,star_only,1,521.0480756759644,57911,410,2046.7180632841191,0.035679580368793574,346.64587833406307,68,6.8,True,309,30.9,0,43
63.24555320336759,24.305351914324763,star_only,0,593.7049283981323,66697,360,4010.72257203772,-0.05670132409003754,218.9897715902601,46,4.6,True,343,34.3,2,63
79.52707287670508,28.451027657876885,star_only,2,487.67054176330566,56310,430,1539.2077348192176,-0.08055123166112203,358.51543749774896,74,7.4,True,360,36.0,1,32
