m_smbh,coulomb_log,a_min_pc,reading,seed,elapsed_s,n_steps,final_time_gyr,hit_step_ceiling,n_mergers,max_mass,max_spin,p99_mass,n_gt_100,pct_gt_100,any_gt_100,n_emri,pct_emri,n_ejected,max_generation
126491.1,11.747927228943405,0.001,star_only,7,23.05166721343994,7776,7.16765127991578,False,93,535.264990858789,0.22911472680496203,123.41427249060266,20,2.0,True,983,98.3,17,16
126491.1,11.747927228943405,0.001,star_only,5,26.025871992111206,9807,10.0,False,121,435.3786825302821,0.36525482881408994,141.1901136131405,34,3.4,True,970,97.0,29,14
126491.1,11.747927228943405,0.001,star_only,1,26.137404918670654,9351,8.90967042882996,False,93,307.1133041417693,0.4727450913416275,129.87963183505474,30,3.0,True,979,97.9,21,7
126491.1,11.747927228943405,0.001,star_only,3,26.91115403175354,9378,8.88220566387725,False,112,246.77055760339715,-0.5213802201929535,138.19022739433115,35,3.5,True,975,97.5,25,9
126491.1,11.747927228943405,0.001,star_only,6,28.0774827003479,10288,9.999930378636503,False,106,461.86773411788886,0.45583175664308856,156.27077942224872,24,2.4,True,976,97.6,24,10
126491.1,11.747927228943405,0.001,star_only,0,32.29577326774597,11258,10.0,False,155,566.1206843429829,0.056981759265967,180.870458431969,39,3.9,True,979,97.9,20,20
126491.1,11.747927228943405,0.001,star_only,4,42.06543159484863,15065,10.0,False,312,5154.303044717179,-0.016788166050068408,218.17416738803576,35,3.5,True,970,97.0,29,167
126491.1,11.747927228943405,0.001,bh_inclusive,0,115.56472611427307,64531,10.0,False,1,170.9891757238619,0.6836438509038102,97.68865305424953,2,0.2,True,892,89.2,106,2
126491.1,11.747927228943405,0.001,bh_inclusive,1,117.2503547668457,67027,9.957559217858915,False,0,99.98079087502445,0.007548506308542739,96.53000128636864,0,0.0,False,901,90.1,99,1
126491.1,11.747927228943405,0.001,bh_inclusive,4,119.92560577392578,69706,10.0,False,0,99.55452051455686,0.0,97.42742802644462,0,0.0,False,907,90.7,92,1
126491.1,11.747927228943405,0.001,bh_inclusive,2,128.27638459205627,73649,10.0,False,1,99.98820870004378,0.0,96.39455129460063,0,0.0,False,892,89.2,105,2
126491.1,11.747927228943405,0.001,bh_inclusive,3,128.78598475456238,75373,10.0,False,1,109.7189881190425,0.531028382608958,96.605379181587,1,0.1,True,888,88.8,107,2
126491.1,11.747927228943405,0.001,bh_inclusive,5,125.91540670394897,70703,10.0,False,0,99.81394088020865,0.0,97.84369214403975,0,0.0,False,900,90.0,99,1
126491.1,11.747927228943405,0.001,bh_inclusive,6,123.73995566368103,72741,10.0,False,0,99.49249908798629,0.0,97.85099618499609,0,0.0,False,905,90.5,89,1
400000.0,12.89921982609012,0.001,star_only,2,103.26328468322754,19480,10.0,False,315,2710.912014151445,-0.02152156502364064,231.55464620081918,64,6.4,True,924,92.4,28,78
126491.1,11.747927228943405,0.001,bh_inclusive,7,121.80987310409546,73681,10.0,False,0,99.73553957233608,0.0,97.1753207783625,0,0.0,False,891,89.1,105,1
126491.1,11.747927228943405,0.001,star_only,2,267.988888502121,47862,8.622785551270912,False,579,26903.093367962876,-0.024569312323883614,129.6614890279442,29,2.9,True,986,98.6,14,497
400000.0,12.89921982609012,0.001,star_only,3,148.80377745628357,31422,10.0,False,675,9116.998269581269,0.009931662303636683,292.9858927462067,61,6.1,True,930,93.0,12,243
400000.0,12.89921982609012,0.001,bh_inclusive,0,52.91057538986206,23381,10.0,False,2,115.85833835321999,0.4402898287791992,97.78119930700801,2,0.2,True,934,93.4,30,2
400000.0,12.89921982609012,0.001,bh_inclusive,1,53.99837112426758,23576,10.0,False,1,99.7749888768037,0.0,96.53000128636864,0,0.0,False,932,93.2,26,2
400000.0,12.89921982609012,0.001,bh_inclusive,2,52.29631447792053,23196,10.0,False,1,100.19423048103604,0.007540485687266097,96.49874683785697,1,0.1,True,935,93.5,20,2
400000.0,12.89921982609012,0.001,bh_inclusive,3,55.74216294288635,23790,10.0,False,1,113.30577873169297,0.35964058148852046,95.68215173291772,1,0.1,True,940,94.0,19,2
400000.0,12.89921982609012,0.001,bh_inclusive,4,53.2410306930542,23473,10.0,False,5,120.45642776773302,0.592558223425454,97.72520039897537,2,0.2,True,940,94.0,28,2
400000.0,12.89921982609012,0.001,star_only,6,187.55731415748596,50540,10.0,False,2035,66835.51452213732,0.0015866377413397395,182.09410863301926,46,4.6,True,933,93.3,13,1791
400000.0,12.89921982609012,0.001,bh_inclusive,5,53.103562116622925,23314,10.0,False,2,99.81394088020865,0.0,97.68779900573857,0,0.0,False,929,92.9,26,2
400000.0,12.89921982609012,0.001,bh_inclusive,6,54.83738470077515,23669,10.0,False,2,133.37647065783975,0.6810018962431483,97.98448172222174,2,0.2,True,920,92.0,36,2
400000.0,12.89921982609012,0.001,bh_inclusive,7,56.14256572723389,24023,10.0,False,0,99.73553957233608,0.0,97.1753207783625,0,0.0,False,933,93.3,24,1
400000.0,12.89921982609012,0.001,star_only,7,2941.1527891159058,1139059,10.0,False,4905,1560073.1288478035,-0.0002239830566940741,245.7529302768947,46,4.6,True,948,94.8,10,4271
400000.0,12.89921982609012,0.001,star_only,1,5061.387311220169,2000000,1.7988747434356143,True,9574,3758371.907055593,-0.004181353522010169,273.7192303526875,56,5.6,True,685,68.5,9,7206
400000.0,12.89921982609012,0.001,star_only,5,6128.093805074692,2000000,1.191396842865891,True,3123,5017533.35611959,-0.0014165633373516289,195.3756915581297,49,4.9,True,633,63.3,14,1628
400000.0,12.89921982609012,0.001,star_only,0,6477.723173856735,2000000,1.0665232149376427,True,2351,5047451.801998128,-0.000467031409770003,239.03488821709675,54,5.4,True,605,60.5,15,1514
1264911.0,14.050512321937452,0.001,star_only,2,6197.6268446445465,2000000,9.26502184464885,True,3635,2578949.895508638,-0.0029693513421082287,1311.6932289734211,106,10.6,True,664,66.4,10,1180
400000.0,12.89921982609012,0.001,star_only,4,6789.901943445206,2000000,0.9547446213214651,True,1437,4981873.273174627,-0.006954787829835319,252.7844541833559,53,5.3,True,587,58.7,7,1153
1264911.0,14.050512321937452,0.001,bh_inclusive,0,24.77590799331665,10266,10.0,False,4,141.14598792161644,0.6855866995517413,97.78119930700801,2,0.2,True,823,82.3,5,2
1264911.0,14.050512321937452,0.001,bh_inclusive,1,24.513907194137573,10285,10.0,False,0,99.89101278812304,0.007551887647193097,96.53000128636864,0,0.0,False,831,83.1,2,1
1264911.0,14.050512321937452,0.001,bh_inclusive,2,24.62092614173889,10395,10.0,False,2,100.33630753340367,0.6722980117565199,96.49919132302995,1,0.1,True,837,83.7,5,2
1264911.0,14.050512321937452,0.001,bh_inclusive,3,24.316595554351807,10282,10.0,False,1,122.85019632788216,0.5821727922911162,96.80585818084218,1,0.1,True,822,82.2,4,2
1264911.0,14.050512321937452,0.001,bh_inclusive,4,24.781829595565796,10294,10.0,False,3,99.55452051455686,0.0,97.70475870203498,0,0.0,False,831,83.1,5,2
1264911.0,14.050512321937452,0.001,bh_inclusive,5,24.340425968170166,10321,10.0,False,1,100.01978304690238,0.007547039150265231,97.85123532630487,1,0.1,True,828,82.8,6,2
1264911.0,14.050512321937452,0.001,bh_inclusive,6,24.77532649040222,10303,10.0,False,3,161.8551379550699,0.677902022776299,97.98448172222174,2,0.2,True,825,82.5,1,2
1264911.0,14.050512321937452,0.001,bh_inclusive,7,24.523110389709473,10233,10.0,False,1,113.8979178787206,0.5050662041229824,97.4008767992089,1,0.1,True,837,83.7,4,2
1264911.0,14.050512321937452,0.001,star_only,0,6831.704760313034,2000000,7.6250827432529835,True,4938,1181843.7136041992,0.0034586438011478936,3080.6575092263706,97,9.7,True,628,62.8,15,850
