m_max,mean_bh_mass,reading,primordial_binary_fraction,seed,elapsed_s,n_steps,n_mergers,max_mass,max_spin,p99_mass,n_gt_100,pct_gt_100,any_gt_100,n_emri,pct_emri,n_ejected,max_generation
20.118934874926964,11.93469047579581,star_only,0.15,5,367.51808166503906,37030,32,60.34145885215839,0.4439647488043851,36.4991389455384,0,0.0,False,314,31.4,0,3
20.118934874926964,11.93469047579581,star_only,0.15,6,408.0777633190155,40783,38,92.25965914575275,0.41759794559704155,31.574935312519422,0,0.0,False,314,31.4,0,5
20.118934874926964,11.93469047579581,star_only,0.15,7,434.8973503112793,45710,37,68.14020209807335,-0.011686660980926375,34.74585019398187,0,0.0,False,341,34.1,0,3
20.118934874926964,11.93469047579581,star_only,0.15,0,456.7102859020233,47191,41,65.8475409563787,-0.32841421224424316,42.67023241421144,0,0.0,False,324,32.4,0,3
20.118934874926964,11.93469047579581,star_only,0.15,3,473.76624298095703,49473,34,76.81369638002855,0.07721509960353377,31.691318416193873,0,0.0,False,321,32.1,0,3
20.118934874926964,11.93469047579581,star_only,0.15,4,484.83510732650757,49661,46,58.99588480733328,-0.4973066350495138,38.148707198899636,0,0.0,False,323,32.3,2,4
20.118934874926964,11.93469047579581,star_only,0.15,1,495.75944209098816,51593,36,140.92921948843838,0.24826354819435828,35.666687684640436,1,0.1,True,333,33.3,0,5
20.118934874926964,11.93469047579581,star_only,0.15,2,506.31632256507874,52577,45,82.79448904340846,0.021885022940125416,35.09240551889438,0,0.0,False,328,32.8,1,4
22.56043586482567,12.788417289456453,star_only,0.15,1,459.95908522605896,48100,53,88.09838738802334,-0.41859269686022144,40.86332831556614,0,0.0,False,307,30.7,0,4
22.56043586482567,12.788417289456453,star_only,0.15,6,379.17279529571533,38616,44,79.73232637991124,0.19623476765735873,43.71461404236581,0,0.0,False,307,30.7,0,4
22.56043586482567,12.788417289456453,star_only,0.15,0,518.4291546344757,54918,51,107.2456293821322,0.34229343842589605,40.77431362348799,1,0.1,True,315,31.5,0,3
22.56043586482567,12.788417289456453,star_only,0.15,2,454.9838562011719,47857,41,91.1028716838239,-0.2487598157218301,41.2019345725872,0,0.0,False,331,33.1,0,5
22.56043586482567,12.788417289456453,star_only,0.15,7,420.35695791244507,44642,45,58.113575281339884,0.16632084565294752,44.24855747935143,0,0.0,False,330,33.0,0,3
22.56043586482567,12.788417289456453,star_only,0.15,5,442.97325229644775,46737,55,68.45120225532919,-0.4370972375132245,43.060394587280854,0,0.0,False,335,33.5,0,3
22.56043586482567,12.788417289456453,star_only,0.15,3,472.03812289237976,50217,51,64.96685296860075,-0.4080612720570737,45.66359888461584,0,0.0,False,335,33.5,0,3
22.56043586482567,12.788417289456453,star_only,0.15,4,464.24340772628784,48849,37,81.5321351000516,0.42455638729163525,41.657088519147955,0,0.0,False,320,32.0,0,3
25.298221281347033,13.717017314613273,star_only,0.15,1,421.3579647541046,43537,44,71.58959653121987,-0.0354781791798748,47.70720908738798,0,0.0,False,322,32.2,1,3
25.298221281347033,13.717017314613273,star_only,0.15,0,459.79089760780334,48347,60,75.95340987793492,0.23044895096760698,50.51642123220846,0,0.0,False,303,30.3,0,5
25.298221281347033,13.717017314613273,star_only,0.15,6,420.3731997013092,43599,51,132.98728052965436,0.3252682097951933,52.004174970606584,1,0.1,True,300,30.0,1,4
25.298221281347033,13.717017314613273,star_only,0.15,3,467.3867971897125,49400,60,121.5861561455407,-0.1494827049238807,47.54102387965071,2,0.2,True,309,30.9,0,6
25.298221281347033,13.717017314613273,star_only,0.15,7,422.2203907966614,44079,57,74.48439112828204,0.3025154682783041,47.36917017408789,0,0.0,False,332,33.2,1,4
25.298221281347033,13.717017314613273,star_only,0.15,2,479.7304000854492,50833,69,316.44122807673136,-0.18905698305306118,52.983767623725555,1,0.1,True,335,33.5,0,10
25.298221281347033,13.717017314613273,star_only,0.15,4,444.05898666381836,47360,60,81.70224788717161,-0.2757521555022152,54.60762022488039,0,0.0,False,331,33.1,2,4
25.298221281347033,13.717017314613273,star_only,0.15,5,464.5169372558594,48837,57,166.19496136295032,-0.37111953253035246,44.14019687674822,2,0.2,True,348,34.8,0,6
28.368246244649647,14.72764116518644,star_only,0.15,0,419.4748864173889,42375,74,155.48072998276686,-0.15414041643360069,58.55369918176549,3,0.3,True,303,30.3,0,4
28.368246244649647,14.72764116518644,star_only,0.15,4,410.99453020095825,41561,70,197.4256469177941,0.16839683823632437,63.40900352648269,2,0.2,True,317,31.7,0,8
28.368246244649647,14.72764116518644,star_only,0.15,5,424.6889042854309,42708,70,212.37580102109828,-0.18007149178897947,55.940701522794214,2,0.2,True,337,33.7,1,7
28.368246244649647,14.72764116518644,star_only,0.15,2,464.16334199905396,47044,66,94.00506013204398,-0.40324404515220746,58.93609363453119,0,0.0,False,331,33.1,0,4
28.368246244649647,14.72764116518644,star_only,0.15,1,491.193794965744,49342,63,167.0724884035359,-0.33853426232022504,55.80252282887051,2,0.2,True,338,33.8,1,6
28.368246244649647,14.72764116518644,star_only,0.15,6,463.8177592754364,45981,54,107.25786865932155,0.44068367955197113,59.462549933309624,1,0.1,True,341,34.1,1,5
28.368246244649647,14.72764116518644,star_only,0.15,3,509.7882158756256,52263,72,211.7904161192985,-0.28206323140701844,61.28205363230405,4,0.4,True,333,33.3,0,8
28.368246244649647,14.72764116518644,star_only,0.15,7,486.4754641056061,49253,63,165.43297991110012,-0.03700761663651733,67.79037527120212,3,0.3,True,341,34.1,0,6
31.810829150682036,15.82815638906387,star_only,0.15,0,485.8653962612152,48864,85,254.93999511542302,0.0765633585859551,67.75397403699255,4,0.4,True,316,31.6,0,7
31.810829150682036,15.82815638906387,star_only,0.15,1,453.5608448982239,44721,109,369.143271376741,0.1744624809739188,71.39294494386178,5,0.5,True,310,31.0,2,12
31.810829150682036,15.82815638906387,star_only,0.15,5,418.9619731903076,43307,80,232.34236257174516,0.04596857379921259,74.19773652701188,2,0.2,True,339,33.9,0,11
31.810829150682036,15.82815638906387,star_only,0.15,4,449.26054072380066,45989,79,188.57279142964939,-0.14202116049946237,75.43975810685598,7,0.7,True,341,34.1,0,6
31.810829150682036,15.82815638906387,star_only,0.15,6,429.5841302871704,43483,75,152.7647676531411,0.4720366381024314,57.5572191400001,2,0.2,True,304,30.4,1,4
31.810829150682036,15.82815638906387,star_only,0.15,2,527.9504096508026,54032,70,106.35925854082487,-0.3636535312772865,66.27101162295263,2,0.2,True,343,34.3,1,6
31.810829150682036,15.82815638906387,star_only,0.15,3,505.40769267082214,52424,79,113.81617392746362,0.4264700356589706,63.04934493796091,1,0.1,True,311,31.1,0,4
