m_max,mean_bh_mass,reading,seed,elapsed_s,n_steps,n_mergers,max_mass,max_spin,p99_mass,n_gt_100,pct_gt_100,any_gt_100,n_emri,pct_emri,n_ejected,max_generation
20.118934874926964,11.669486968369693,star_only,7,407.68448185920715,39341,24,91.38890932073879,0.30068637623297806,31.34094579105862,0,0.0,False,311,31.1,0,4
20.118934874926964,11.669486968369693,star_only,6,414.60059881210327,40195,41,78.365713716948,0.1931339722849961,35.40100594450305,0,0.0,False,319,31.9,0,4
22.56043586482567,12.503743018155953,star_only,1,466.15718483924866,45940,54,83.5773796742116,0.4163591477147622,38.90215164336328,0,0.0,False,337,33.7,0,4
20.118934874926964,11.669486968369693,star_only,4,496.7744653224945,48279,47,60.06475756030641,0.28645584674755536,35.41812481481928,0,0.0,False,304,30.4,0,3
22.56043586482567,12.503743018155953,star_only,2,521.9562046527863,50694,47,73.51120805771329,0.19402889727284742,40.46155633524933,0,0.0,False,312,31.2,0,5
20.118934874926964,11.669486968369693,star_only,5,522.1597366333008,51034,40,98.6717925093835,0.4679574844990793,36.97270711871,0,0.0,False,332,33.2,0,5
20.118934874926964,11.669486968369693,star_only,3,551.5917932987213,55718,42,56.8352936217907,-0.3185100162474206,34.14106255656171,0,0.0,False,334,33.4,0,3
22.56043586482567,12.503743018155953,star_only,0,581.9958086013794,58438,60,136.77843003391985,-0.23307494598823478,42.41562334008233,2,0.2,True,352,35.2,0,7
22.56043586482567,12.503743018155953,star_only,3,500.6661114692688,50982,58,122.78694401752074,-0.3259845246290037,42.34443793479238,1,0.1,True,331,33.1,0,6
22.56043586482567,12.503743018155953,star_only,4,506.3060657978058,49936,59,151.1948308489869,-0.24723544250152077,43.7202393311522,1,0.1,True,306,30.6,0,6
22.56043586482567,12.503743018155953,star_only,6,475.3321866989136,46718,31,77.83786486512706,0.0921121725433345,39.1798737709647,0,0.0,False,306,30.6,0,3
22.56043586482567,12.503743018155953,star_only,7,458.54476833343506,46218,43,67.6910465932349,0.44021837106622336,38.624959501776395,0,0.0,False,341,34.1,0,3
22.56043586482567,12.503743018155953,star_only,5,514.5062839984894,51418,39,74.92213847264304,-0.2320489991077971,34.302088377575146,0,0.0,False,334,33.4,0,4
25.298221281347033,13.411092195249925,star_only,3,467.34458899497986,46861,63,73.37842508249639,0.08539570491164362,44.977535530669705,0,0.0,False,324,32.4,0,4
25.298221281347033,13.411092195249925,star_only,5,431.41909623146057,42936,68,185.92480409830088,0.16006086502406427,46.39152865383124,1,0.1,True,348,34.8,0,7
25.298221281347033,13.411092195249925,star_only,4,468.59945726394653,45845,48,112.41189118379641,0.5368678815229618,44.59643038710107,1,0.1,True,313,31.3,0,4
25.298221281347033,13.411092195249925,star_only,7,358.1672673225403,37250,37,109.08073228219656,-0.017859620280933994,40.47780590954569,1,0.1,True,321,32.1,0,4
25.298221281347033,13.411092195249925,star_only,6,392.185476064682,40985,46,59.16795540425395,0.6087763566411643,43.990089191725936,0,0.0,False,309,30.9,0,3
28.368246244649647,14.39851202492581,star_only,3,428.17544174194336,46310,80,128.96814800609326,-0.08683081402344602,59.398366020935974,2,0.2,True,318,31.8,1,5
28.368246244649647,14.39851202492581,star_only,5,404.25661754608154,43262,60,111.8288943722482,-0.08393233617824225,54.87705030251701,1,0.1,True,334,33.4,1,3
28.368246244649647,14.39851202492581,star_only,2,444.658899307251,45732,64,153.18468095469228,0.16202430894651426,54.19403462879549,1,0.1,True,298,29.8,0,5
28.368246244649647,14.39851202492581,star_only,0,471.00331139564514,50233,71,199.58237254055595,-0.07467168372375178,50.66709708935436,2,0.2,True,331,33.1,0,8
28.368246244649647,14.39851202492581,star_only,1,470.197226524353,48715,72,122.50636909047851,-0.10537289558563834,58.944897377870426,2,0.2,True,322,32.2,0,5
28.368246244649647,14.39851202492581,star_only,4,481.64182567596436,51636,72,123.92469801110555,-0.33821247223730416,49.60484281058205,1,0.1,True,341,34.1,0,4
28.368246244649647,14.39851202492581,star_only,6,419.5464301109314,45178,43,93.46467937571107,-0.23496603841970615,45.96302369080659,0,0.0,False,296,29.6,0,3
28.368246244649647,14.39851202492581,star_only,7,485.23676896095276,54261,35,80.44896859340533,-0.366759426545937,43.74933139459061,0,0.0,False,342,34.2,0,4
31.810829150682036,15.473679386078373,star_only,3,408.9408378601074,47372,88,237.082608504704,-0.19869294143063299,61.262180799813514,3,0.3,True,337,33.7,1,11
31.810829150682036,15.473679386078373,star_only,5,416.314959526062,47653,99,296.72051924303844,0.07696266705908085,68.60408292894351,3,0.3,True,349,34.9,0,9
31.810829150682036,15.473679386078373,star_only,7,402.654269695282,47276,49,96.93316784458035,0.41546416675273934,51.62872467907468,0,0.0,False,336,33.6,0,3
31.810829150682036,15.473679386078373,star_only,6,412.4800362586975,48091,63,83.88132442267768,0.5619795926039209,58.45271000232706,0,0.0,False,311,31.1,0,4
31.810829150682036,15.473679386078373,star_only,4,444.90690183639526,50383,84,275.53491420587824,-0.01652098124314826,63.94233392930211,2,0.2,True,312,31.2,0,9
